2024-11-24 07:52:00.203 [main] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
2024-11-24 07:52:00.231 [main] INFO  o.s.a.r.c.CachingConnectionFactory - Created new connection: rabbitConnectionFactory#5f5297e3:0/SimpleConnection@66e1b2a [delegate=amqp://root@127.0.0.1:5672/, localPort=59972]
2024-11-24 07:52:00.270 [main] INFO  com.gtcafe.asimov.consumer.Main - Started Main in 1.461 seconds (process running for 1.615)
2024-11-24 07:52:00.293 [pool-3-thread-5] WARN  o.s.a.r.l.BlockingQueueConsumer - Cancel received for amq.ctag-TDMh7dfHtecjDMi2-MpgnQ (asimov.platform.hello); Consumer@6068ebb2: tags=[[amq.ctag-TDMh7dfHtecjDMi2-MpgnQ]], channel=Cached Rabbit Channel: AMQChannel(amqp://root@127.0.0.1:5672/,1), conn: Proxy@298263fa Shared Rabbit Connection: SimpleConnection@66e1b2a [delegate=amqp://root@127.0.0.1:5672/, localPort=59972], acknowledgeMode=AUTO local queue size=0
2024-11-24 07:52:00.296 [pool-3-thread-6] WARN  o.s.a.r.l.BlockingQueueConsumer - Cancel received for amq.ctag-Ezt8M_YL8G7GT2XC7Z4VMA (asimov.platform.tenant); Consumer@1760e594: tags=[[amq.ctag-Ezt8M_YL8G7GT2XC7Z4VMA]], channel=Cached Rabbit Channel: AMQChannel(amqp://root@127.0.0.1:5672/,2), conn: Proxy@298263fa Shared Rabbit Connection: SimpleConnection@66e1b2a [delegate=amqp://root@127.0.0.1:5672/, localPort=59972], acknowledgeMode=AUTO local queue size=0
2024-11-24 07:52:01.258 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-1] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.rabbit.support.ConsumerCancelledException
2024-11-24 07:52:01.259 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-1] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@6068ebb2: tags=[[]], channel=Cached Rabbit Channel: AMQChannel(amqp://root@127.0.0.1:5672/,1), conn: Proxy@298263fa Shared Rabbit Connection: SimpleConnection@66e1b2a [delegate=amqp://root@127.0.0.1:5672/, localPort=59972], acknowledgeMode=AUTO local queue size=0
2024-11-24 07:52:01.264 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#1-1] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.rabbit.support.ConsumerCancelledException
2024-11-24 07:52:01.265 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#1-1] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@1760e594: tags=[[]], channel=Cached Rabbit Channel: AMQChannel(amqp://root@127.0.0.1:5672/,2), conn: Proxy@298263fa Shared Rabbit Connection: SimpleConnection@66e1b2a [delegate=amqp://root@127.0.0.1:5672/, localPort=59972], acknowledgeMode=AUTO local queue size=0
2024-11-24 07:52:29.466 [pool-3-thread-3] WARN  o.s.a.r.l.BlockingQueueConsumer - Cancel received for amq.ctag-p8Ye9ameZVUrEVQSSHcj-g (asimov.platform.hello); Consumer@d5909e1: tags=[[amq.ctag-p8Ye9ameZVUrEVQSSHcj-g]], channel=Cached Rabbit Channel: AMQChannel(amqp://root@127.0.0.1:5672/,3), conn: Proxy@298263fa Shared Rabbit Connection: SimpleConnection@66e1b2a [delegate=amqp://root@127.0.0.1:5672/, localPort=59972], acknowledgeMode=AUTO local queue size=0
2024-11-24 07:52:29.468 [pool-3-thread-4] WARN  o.s.a.r.l.BlockingQueueConsumer - Cancel received for amq.ctag-m99QEa3Dpk12LvU9sPU-qg (asimov.platform.tenant); Consumer@5640a196: tags=[[amq.ctag-m99QEa3Dpk12LvU9sPU-qg]], channel=Cached Rabbit Channel: AMQChannel(amqp://root@127.0.0.1:5672/,4), conn: Proxy@298263fa Shared Rabbit Connection: SimpleConnection@66e1b2a [delegate=amqp://root@127.0.0.1:5672/, localPort=59972], acknowledgeMode=AUTO local queue size=0
2024-11-24 07:52:30.311 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#1-2] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.rabbit.support.ConsumerCancelledException
2024-11-24 07:52:30.311 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-2] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.rabbit.support.ConsumerCancelledException
2024-11-24 07:52:30.313 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#1-2] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@5640a196: tags=[[]], channel=Cached Rabbit Channel: AMQChannel(amqp://root@127.0.0.1:5672/,4), conn: Proxy@298263fa Shared Rabbit Connection: SimpleConnection@66e1b2a [delegate=amqp://root@127.0.0.1:5672/, localPort=59972], acknowledgeMode=AUTO local queue size=0
2024-11-24 07:52:30.314 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-2] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@d5909e1: tags=[[]], channel=Cached Rabbit Channel: AMQChannel(amqp://root@127.0.0.1:5672/,3), conn: Proxy@298263fa Shared Rabbit Connection: SimpleConnection@66e1b2a [delegate=amqp://root@127.0.0.1:5672/, localPort=59972], acknowledgeMode=AUTO local queue size=0
